restaurant_id,restaurant_name,restaurant_address,restaurant_category_id,restaurant_image
103,비스트로피자-강남1호점,서울특별시 강남구 논현동 262 262 지상1층 102호,4,static/img/비스트로피자-강남1호점.jpg
104,고메스테이크 역삼점,서울특별시 강남구 역삼동 798-25 798-25,4,static/img/고메스테이크 역삼점.jpg
105,할랄가이즈-강남점,서울특별시 서초구 서초동 1309-8 케이아이타워(K I타워) 1309-8,4,static/img/할랄가이즈-강남점.jpg
106,피자아이,서울 강남구 역삼동  670-3 1층,4,static/img/피자아이.jpg
107,팟스테이크,서울특별시 강남구 역삼동 648-23 여삼빌딩 648-23 여삼빌딩 지하1층 먼슬리키친 18호,4,static/img/팟스테이크.jpg
108,파스타입니다-강남점,"서울특별시 강남구 삼성동 8-2 브라운스톤 레전드 8-2 브라운스톤 레전드 지하1층 B110호,B111호 주방4호",4,static/img/파스타입니다-강남점.jpg
109,타코벨-역삼점,서울특별시 강남구 역삼동 739-1 739-1 1층,4,static/img/타코벨-역삼점.jpg
110,빨간모자피자-대치점,서울 강남구 대치동 905-30 1층,4,static/img/빨간모자피자-대치점.jpg
111,오므토토마토-강남본점,서울특별시 강남구 역삼동 827-5 정우씨티 지상1층 2호,4,static/img/오므토토마토-강남본점.jpg
112,붐피자-강남논현점,서울특별시 강남구 논현동 225-6 논현 아이파크 103동 B104호,4,static/img/붐피자-강남논현점.jpg
113,스파게티스토리-반포IC점,서울특별시 서초구 반포동 746-9 서초빌딩 746-9 서초빌딩 101호,4,static/img/스파게티스토리-반포IC점.jpg
114,잭슨피자-청담점,서울특별시 강남구 논현동 111-26 111-26 1층 102호,4,static/img/잭슨피자-청담점.jpg
115,리츠델리피자,서울 강남구 역삼동 656-19 지엔에스 1층,4,static/img/리츠델리피자.jpg
116,바바인디아,"서울특별시 서초구 서초동 1328-11 대우도씨에빛2 1328-11 대우도씨에빛2 2층 201호,202호,213호",4,static/img/바바인디아.jpg
117,남자피자-반포잠원점,서울 서초구 반포동 711-22 101호의 일부,4,static/img/남자피자-반포잠원점.jpg
118,헤비스테이크-강남역점,서울특별시 강남구 역삼동 826-29 역삼동우정에쉐르1 826-29 역삼동우정에쉐르1 1층 103호,4,static/img/헤비스테이크-강남역점.jpg
119,피자알볼로-역삼직영점,서울 강남구 역삼동 789-2 1층,4,static/img/피자알볼로-역삼직영점.jpg
120,프랭크버거-선릉역점,서울특별시 강남구 대치동 889-68 현대선릉 GOLD TOWER 1층 102호,4,static/img/프랭크버거-선릉역점.jpg
121,피자탑-강남1호점,서울특별시 강남구 논현동 114-19 1층,4,static/img/피자탑-강남1호점.jpg
122,스파게티스토리-선릉점,서울특별시 강남구 역삼동 773-8 773-8 1층 104호,4,static/img/스파게티스토리-선릉점.jpg
123,오빠생각타코&캔카페-강남점,서울특별시 강남구 논현동 181-12 1층 103호,4,static/img/오빠생각타코&캔카페-강남점.jpg
124,고에몬-강남점,"서울특별시 서초구 서초동 1317-13 서초동, 1층",4,static/img/고에몬-강남점.jpg
125,7번가피자-서초교대점,서울특별시 서초구 서초동 1648-17 한대빌딩 1층,4,static/img/7번가피자-서초교대점.jpg
126,고피자-교대역점,서울특별시 서초구 서초동 1714-19 한성빌딩 102호,4,static/img/고피자-교대역점.jpg
127,오늘은스파게티&치즈밥-강남직영점,서울특별시 서초구 반포동 738-5 지하1호(반포동),4,static/img/오늘은스파게티&치즈밥-강남직영점.jpg
128,요녀석파스타&필라프-강남점,서울특별시 강남구 역삼동 643-7 643-7 1층 101호,4,static/img/요녀석파스타&필라프-강남점.jpg
129,아웃백-삼성점,서울특별시 강남구 삼성동 157-18 157-18 지하2층 13호,4,static/img/아웃백-삼성점.jpg
130,알로하포케-신논현점,서울특별시 서초구 반포동 738-45 738-45,4,static/img/알로하포케-신논현점.jpg
131,청년피자-강남1호점,서울특별시 강남구 논현동 241-3 에스케이 허브블루 241-3 에스케이 허브블루 114호,4,static/img/청년피자-강남1호점.jpg
132,빕스얌딜리버리-서초점,서울특별시 서초구 서초동 1678-2 서초동동아빌라트 1678-2 서초동동아빌라트 지하1층 101호 내 22호,4,static/img/빕스얌딜리버리-서초점.jpg
133,어메이징타이 서초점,서울특별시 서초구 서초동 1308-16 한서그린빌리지 1309-1,4,static/img/어메이징타이 서초점.jpg
